phenotypes,referenceCardinality,nViolations,fitness,likelihood,generality,X2S
:304  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,9791,0,9791,0,"0,2338",
:368  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,9791,0,9791,0,"0,2338",
:1  a sh:NodeShape ; sh:targetObjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNode . ,5954,0,5954,0,"0,1422",
:2  a sh:NodeShape ; sh:targetObjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrIRI . ,5954,0,5954,0,"0,1422",
:106  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,5954,0,5954,0,"0,1422",
:107  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] . ,5954,0,5954,0,"0,1422",
:108  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNode ;  ] . ,5954,0,5954,0,"0,1422",
:109  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNode ;  ] . ,5954,0,5954,0,"0,1422",
:110  a sh:NodeShape ; sh:targetObjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrLiteral . ,5954,0,5954,0,"0,1422",
:211  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,5954,0,5954,0,"0,1422",
:305  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] . ,5954,0,5954,0,"0,1422",
:3  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#TextPositionSelector>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:Literal ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:4  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#confidence>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:Literal ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:5  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:6  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRIOrLiteral ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:7  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRI ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:8  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:9  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:Literal ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
:111  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] . ,2977,0,2977,"1,43E-279","0,0711",
