phenotypes,referenceCardinality,nViolations,fitness,likelihood,generality,X2S
:128  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#hasDescription>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,6347,0,6347,0,"0,1516",
:1  a sh:NodeShape ; sh:targetObjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrIRI .,5954,0,5954,0,"0,1422",
:2  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,5954,0,5954,0,"0,1422",
:3  a sh:NodeShape ; sh:targetObjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNode .,5954,0,5954,0,"0,1422",
:111  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,5954,0,5954,0,"0,1422",
:112  a sh:NodeShape ; sh:targetObjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrLiteral .,5954,0,5954,0,"0,1422",
:170  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,5954,0,5954,0,"0,1422",
:224  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNode ;  ] .,5954,0,5954,0,"0,1422",
:338  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasTarget>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,5954,0,5954,0,"0,1422",
:4  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:5  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:6  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#end>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:7  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:8  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:9  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:10  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:Literal ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:11  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:113  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:114  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:115  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:116  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:171  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:172  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#confidence>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:173  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#start>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:174  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:175  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#motivatedBy>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:176  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:177  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#end>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:nodeKind sh:Literal ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:225  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#end>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:226  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:227  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#TextPositionSelector>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:228  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:IRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:285  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#TextPositionSelector>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:286  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#TextPositionSelector>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:Literal ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:287  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:315  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#start>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:316  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:317  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasSource>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasSource>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:339  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#Annotation>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:340  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:IRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:341  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#hasBody>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:342  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasTarget>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:370  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#start>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:datatype <http://www.w3.org/2001/XMLSchema#double>  ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:371  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#confidence>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#motivatedBy>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:372  a sh:NodeShape ; sh:targetClass <http://www.w3.org/ns/oa#TextPositionSelector>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:396  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#hasBody>  ; sh:property [ sh:path <https://ns.inria.fr/sure#confidence>  ; sh:nodeKind sh:Literal ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:397  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#start>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#start>  ; sh:nodeKind sh:Literal ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:398  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#end>  ; sh:property [ sh:path <http://www.w3.org/ns/oa#end>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:399  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/ns/oa#start>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2977,0,2977,"4,47E-164","0,0711",
:12  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2106,0,2106,"1,02E-116","0,0503",
:117  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2106,0,2106,"1,02E-116","0,0503",
:13  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2003/01/geo/wgs84_pos#long>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:118  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2003/01/geo/wgs84_pos#long>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:119  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:288  a sh:NodeShape ; sh:targetSubjectsOf <http://schema.org/floorSize>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:343  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#hasDescription>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:400  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2003/01/geo/wgs84_pos#lat>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:401  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2003/01/geo/wgs84_pos#lat>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:402  a sh:NodeShape ; sh:targetSubjectsOf <http://schema.org/hasPrice>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,2068,0,2068,"1,19E-114","0,0494",
:14  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Parking>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,1443,0,1443,"1,21E-80","0,0345",
:178  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Parking>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,1443,0,1443,"1,21E-80","0,0345",
:120  a sh:NodeShape ; sh:targetClass <http://schema.org/House>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,1375,0,1375,"6,10E-77","0,0328",
:121  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,1342,0,1342,"3,82E-75","0,032",
:179  a sh:NodeShape ; sh:targetSubjectsOf <https://ns.inria.fr/sure#hasDescription>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRI ;  ] .,1342,0,1342,"3,82E-75","0,032",
:180  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#RealEstate>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRI ;  ] .,1342,0,1342,"3,82E-75","0,032",
:181  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,1342,0,1342,"3,82E-75","0,032",
:259  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2003/01/geo/wgs84_pos#lat>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRI ;  ] .,1342,0,1342,"3,82E-75","0,032",
:344  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,1342,0,1342,"3,82E-75","0,032",
:373  a sh:NodeShape ; sh:targetSubjectsOf <http://schema.org/hasPrice>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRI ;  ] .,1342,0,1342,"3,82E-75","0,032",
:374  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2003/01/geo/wgs84_pos#lat>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,1342,0,1342,"3,82E-75","0,032",
:260  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Quiet>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,1196,0,1196,"3,41E-67","0,0286",
:318  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Quiet>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,1196,0,1196,"3,41E-67","0,0286",
:319  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Quiet>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,1196,0,1196,"3,41E-67","0,0286",
:347  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.w3.org/2003/01/geo/wgs84_pos#lat>  ; sh:nodeKind sh:Literal ;  ] .,1154,0,1154,"6,62E-65","0,0276",
:15  a sh:NodeShape ; sh:targetClass <http://www.w3.org/2004/02/skos/core#Concept>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,972,0,972,"5,47E-55","0,0232",
:122  a sh:NodeShape ; sh:targetClass <http://www.w3.org/2002/07/owl#Class>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRI ;  ] .,972,0,972,"5,47E-55","0,0232",
:123  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,972,0,972,"5,47E-55","0,0232",
:375  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/2000/01/rdf-schema#subClassOf>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,972,0,972,"5,47E-55","0,0232",
:124  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Parking>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#sfWithin>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,846,0,846,"4,06E-48","0,0202",
:16  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRI .,727,0,727,"1,26E-41","0,0174",
:17  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRIOrLiteral .,727,0,727,"1,26E-41","0,0174",
:125  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:BlankNodeOrIRI .,727,0,727,"1,26E-41","0,0174",
:182  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:nodeKind sh:BlankNodeOrLiteral ;  ] .,727,0,727,"1,26E-41","0,0174",
:183  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:datatype <http://www.opengis.net/ont/geosparql#wktLiteral>  ;  ] .,727,0,727,"1,26E-41","0,0174",
:184  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,727,0,727,"1,26E-41","0,0174",
:261  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#asWKT>  ; sh:datatype <http://www.opengis.net/ont/geosparql#wktLiteral>  ;  ] .,727,0,727,"1,26E-41","0,0174",
:289  a sh:NodeShape ; sh:targetSubjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,727,0,727,"1,26E-41","0,0174",
:293  a sh:NodeShape ; sh:targetObjectsOf <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:class <http://www.opengis.net/ont/sf#Point>  .,727,150,577,"0,03377389799","0,0174","0,1819"
:345  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:IRI ;  ] .,727,0,727,"1,26E-41","0,0174",
:403  a sh:NodeShape ; sh:targetSubjectsOf <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:property [ sh:path <http://www.opengis.net/ont/geosparql#hasGeometry>  ; sh:nodeKind sh:BlankNodeOrIRI ;  ] .,727,0,727,"1,26E-41","0,0174",
:346  a sh:NodeShape ; sh:targetClass <https://ns.inria.fr/sure#Bright>  ; sh:property [ sh:path <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  ; sh:nodeKind sh:IRIOrLiteral ;  ] .,724,0,724,"1,84E-41","0,0173",
