"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(dbo:CanadianFootballLeague owl:Thing)" 7 7 0 1 1 28 1 0.531110193329373 6 42
"SubClassOf(dbo:CanadianFootballLeague skos:Concept)" 7 1 0 1 0.515078753637713 120 0.515078753637713 0.5 6 42
"SubClassOf(dbo:TennisLeague dbo:Agent)" 7 7 0 1 1 44 1 0.531110193329373 6 42
"SubClassOf(dbo:TennisLeague dbo:Organisation)" 7 7 0 1 1 24 1 0.531110193329373 6 42
"SubClassOf(dbo:TennisLeague dbo:SportsLeague)" 7 7 0 1 1 20 1 0.531110193329373 6 42
"SubClassOf(dbo:TennisLeague schema:Organization)" 7 7 0 1 1 24 1 0.531110193329373 6 42
"SubClassOf(dbo:TennisLeague owl:Thing)" 7 7 0 1 1 24 1 0.531110193329373 6 42
"SubClassOf(dbo:TennisLeague skos:Concept)" 7 2 0 1 0.699854212223765 108 0.699854212223765 0.5 6 42
"SubClassOf(dbo:CricketLeague dbo:Agent)" 9 9 0 1 1 44 1 0.569491735028695 5 45
"SubClassOf(dbo:CricketLeague dbo:Organisation)" 9 9 0 1 1 32 1 0.569491735028695 5 45
"SubClassOf(dbo:CricketLeague dbo:SportsLeague)" 9 9 0 1 1 32 1 0.569491735028695 5 45
"SubClassOf(dbo:CricketLeague schema:Organization)" 9 9 0 1 1 32 1 0.569491735028695 5 45
"SubClassOf(dbo:CricketLeague owl:Thing)" 9 9 0 1 1 32 1 0.569491735028695 5 45
"SubClassOf(dbo:AutoRacingLeague dbo:Agent)" 9 9 0 1 1 40 1 0.569491735028695 6 54
"SubClassOf(dbo:AutoRacingLeague dbo:Organisation)" 9 9 0 1 1 24 1 0.569491735028695 6 54
"SubClassOf(dbo:AutoRacingLeague dbo:SportsLeague)" 9 9 0 1 1 32 1 0.569491735028695 6 54
"SubClassOf(dbo:AutoRacingLeague schema:Organization)" 9 9 0 1 1 32 1 0.569491735028695 6 54
"SubClassOf(dbo:AutoRacingLeague owl:Thing)" 9 9 0 1 1 28 1 0.569491735028695 6 54
"SubClassOf(dbo:AutoRacingLeague skos:Concept)" 9 1 0 1 0.458122847290851 132 0.458122847290851 0.5 6 54
"SubClassOf(dbo:SnookerWorldRanking owl:Thing)" 34 34 0 1 1 64 1 0.754853269822269 1 34
"SubClassOf(dbo:GolfLeague dbo:Agent)" 12 12 0 1 1 48 1 0.613395464394588 5 60
"SubClassOf(dbo:GolfLeague dbo:Organisation)" 12 12 0 1 1 32 1 0.613395464394588 5 60
"SubClassOf(dbo:GolfLeague dbo:SportsLeague)" 12 12 0 1 1 28 1 0.613395464394588 5 60
"SubClassOf(dbo:GolfLeague schema:Organization)" 12 12 0 1 1 28 1 0.613395464394588 5 60
"SubClassOf(dbo:GolfLeague owl:Thing)" 12 12 0 1 1 32 1 0.613395464394588 5 60
"SubClassOf(dbo:SpaceShuttle dbo:MeanOfTransportation)" 18 18 0 1 1 48 1 0.672815263003181 3 54
"SubClassOf(dbo:SpaceShuttle gml:_Feature)" 18 3 0 1 0.552770798392567 72 0.552770798392566 0.5 3 54
"SubClassOf(dbo:SpaceShuttle owl:Thing)" 18 18 0 1 1 28 1 0.672815263003181 3 54
"SubClassOf(dbo:Project dbo:ResearchProject)" 20 20 0 1 1 52 1 0.687475642120976 3 60
"SubClassOf(dbo:Project dbo:UnitOfWork)" 20 20 0 1 1 36 1 0.687475642120976 3 60
"SubClassOf(dbo:Project owl:Thing)" 20 20 0 1 1 32 1 0.687475642120976 3 60
"SubClassOf(dbo:ResearchProject dbo:Project)" 20 20 0 1 1 32 1 0.687475642120976 3 60
"SubClassOf(dbo:ResearchProject dbo:UnitOfWork)" 20 20 0 1 1 24 1 0.687475642120976 3 60
"SubClassOf(dbo:ResearchProject owl:Thing)" 20 20 0 1 1 32 1 0.687475642120976 3 60
"SubClassOf(dbo:Journalist dbo:Agent)" 14 14 0 1 1 36 1 0.636460157527637 5 70
"SubClassOf(dbo:Journalist dbo:Person)" 14 14 0 1 1 24 1 0.636460157527637 5 70
"SubClassOf(dbo:Journalist schema:Person)" 14 14 0 1 1 24 1 0.636460157527637 5 70
"SubClassOf(dbo:Journalist owl:Thing)" 14 14 0 1 1 24 1 0.636460157527637 5 70
"SubClassOf(dbo:Journalist foaf:Person)" 14 14 0 1 1 20 1 0.636460157527637 5 70
"SubClassOf(dbo:HandballLeague dbo:Agent)" 15 15 0 1 1 36 1 0.646614060160611 5 75
"SubClassOf(dbo:HandballLeague dbo:Organisation)" 15 15 0 1 1 24 1 0.646614060160611 5 75
"SubClassOf(dbo:HandballLeague dbo:SportsLeague)" 15 15 0 1 1 24 1 0.646614060160611 5 75
"SubClassOf(dbo:HandballLeague schema:Organization)" 15 15 0 1 1 20 1 0.646614060160611 5 75
"SubClassOf(dbo:HandballLeague owl:Thing)" 15 15 0 1 1 28 1 0.646614060160611 5 75
"SubClassOf(dbo:PoloLeague dbo:Agent)" 16 16 0 1 1 40 1 0.656 5 80
"SubClassOf(dbo:PoloLeague dbo:Organisation)" 16 16 0 1 1 24 1 0.656 5 80
"SubClassOf(dbo:PoloLeague dbo:SportsLeague)" 16 16 0 1 1 24 1 0.656 5 80
"SubClassOf(dbo:PoloLeague schema:Organization)" 16 16 0 1 1 28 1 0.656 5 80
"SubClassOf(dbo:PoloLeague owl:Thing)" 16 16 0 1 1 20 1 0.656 5 80
"SubClassOf(dbo:SoftballLeague dbo:Agent)" 17 17 0 1 1 36 1 0.664708298909067 5 85
"SubClassOf(dbo:SoftballLeague dbo:Organisation)" 17 17 0 1 1 24 1 0.664708298909067 5 85
"SubClassOf(dbo:SoftballLeague dbo:SportsLeague)" 17 17 0 1 1 28 1 0.664708298909067 5 85
"SubClassOf(dbo:SoftballLeague schema:Organization)" 17 17 0 1 1 28 1 0.664708298909067 5 85
"SubClassOf(dbo:SoftballLeague owl:Thing)" 17 17 0 1 1 28 1 0.664708298909067 5 85
"SubClassOf(dbo:VolleyballCoach dbo:Agent)" 18 18 0 1 1 36 1 0.672815263003181 5 90
"SubClassOf(dbo:VolleyballCoach dbo:Person)" 18 18 0 1 1 24 1 0.672815263003181 5 90
"SubClassOf(dbo:VolleyballCoach schema:Person)" 18 18 0 1 1 24 1 0.672815263003181 5 90
"SubClassOf(dbo:VolleyballCoach owl:Thing)" 18 18 0 1 1 24 1 0.672815263003181 5 90
"SubClassOf(dbo:VolleyballCoach foaf:Person)" 18 18 0 1 1 20 1 0.672815263003181 5 90
"SubClassOf(dbo:Continent dbo:Place)" 14 14 0 1 1 44 1 0.636460157527637 7 98
"SubClassOf(dbo:Continent dbo:PopulatedPlace)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(dbo:Continent schema:Continent)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(dbo:Continent schema:Place)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(dbo:Continent gml:_Feature)" 14 3 0 1 0.618589574131742 128 0.618589574131742 0.5 7 98
"SubClassOf(dbo:Continent owl:Thing)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(dbo:Continent skos:Concept)" 14 9 0 1 0.934049773615859 100 0.934049773615859 0.5 7 98
"SubClassOf(schema:Continent dbo:Continent)" 14 14 0 1 1 32 1 0.636460157527637 7 98
"SubClassOf(schema:Continent dbo:Place)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(schema:Continent dbo:PopulatedPlace)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(schema:Continent schema:Place)" 14 14 0 1 1 24 1 0.636460157527637 7 98
"SubClassOf(schema:Continent gml:_Feature)" 14 3 0 1 0.618589574131742 108 0.618589574131742 0.5 7 98
"SubClassOf(schema:Continent owl:Thing)" 14 14 0 1 1 20 1 0.636460157527637 7 98
"SubClassOf(schema:Continent skos:Concept)" 14 9 0 1 0.934049773615859 100 0.934049773615859 0.5 7 98
"SubClassOf(dbo:CanadianFootballTeam dbo:Agent)" 19 19 0 1 1 32 1 0.680385831111317 6 114
"SubClassOf(dbo:CanadianFootballTeam dbo:Organisation)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:CanadianFootballTeam dbo:SportsTeam)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:CanadianFootballTeam schema:Organization)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:CanadianFootballTeam schema:SportsTeam)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:CanadianFootballTeam owl:Thing)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:MotorcycleRacingLeague dbo:Agent)" 19 19 0 1 1 32 1 0.680385831111317 6 114
"SubClassOf(dbo:MotorcycleRacingLeague dbo:Organisation)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:MotorcycleRacingLeague dbo:SportsLeague)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:MotorcycleRacingLeague schema:Organization)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:MotorcycleRacingLeague owl:Thing)" 19 19 0 1 1 20 1 0.680385831111317 6 114
"SubClassOf(dbo:MotorcycleRacingLeague skos:Concept)" 19 2 0 1 0.446593756538872 156 0.446593756538872 0.458410518666944 6 114
"SubClassOf(dbo:Gnetophytes dbo:Eukaryote)" 28 28 0 1 1 40 1 0.731529770044796 4 112
"SubClassOf(dbo:Gnetophytes dbo:Plant)" 28 28 0 1 1 24 1 0.731529770044796 4 112
"SubClassOf(dbo:Gnetophytes dbo:Species)" 28 28 0 1 1 24 1 0.731529770044796 4 112
"SubClassOf(dbo:Gnetophytes owl:Thing)" 28 28 0 1 1 24 1 0.731529770044796 4 112
"SubClassOf(dbo:LacrosseLeague dbo:Agent)" 20 20 0 1 1 40 1 0.687475642120976 6 120
"SubClassOf(dbo:LacrosseLeague dbo:Organisation)" 20 20 0 1 1 24 1 0.687475642120976 6 120
"SubClassOf(dbo:LacrosseLeague dbo:SportsLeague)" 20 20 0 1 1 24 1 0.687475642120976 6 120
"SubClassOf(dbo:LacrosseLeague schema:Organization)" 20 20 0 1 1 20 1 0.687475642120976 6 120
"SubClassOf(dbo:LacrosseLeague owl:Thing)" 20 20 0 1 1 20 1 0.687475642120976 6 120
"SubClassOf(dbo:LacrosseLeague skos:Concept)" 20 6 0 1 0.714142842854285 156 0.714142842854285 0.5 6 120
"SubClassOf(dbo:FieldHockeyLeague dbo:Agent)" 24 24 0 1 1 40 1 0.711897125003235 5 120
"SubClassOf(dbo:FieldHockeyLeague dbo:Organisation)" 24 24 0 1 1 24 1 0.711897125003235 5 120
"SubClassOf(dbo:FieldHockeyLeague dbo:SportsLeague)" 24 24 0 1 1 24 1 0.711897125003235 5 120
"SubClassOf(dbo:FieldHockeyLeague schema:Organization)" 24 24 0 1 1 24 1 0.711897125003235 5 120
"SubClassOf(dbo:FieldHockeyLeague owl:Thing)" 24 24 0 1 1 24 1 0.711897125003235 5 120
"SubClassOf(dbo:InlineHockeyLeague dbo:Agent)" 23 23 0 1 1 40 1 0.70630939053229 6 138
"SubClassOf(dbo:InlineHockeyLeague dbo:Organisation)" 23 23 0 1 1 28 1 0.70630939053229 6 138
"SubClassOf(dbo:InlineHockeyLeague dbo:SportsLeague)" 23 23 0 1 1 32 1 0.70630939053229 6 138
"SubClassOf(dbo:InlineHockeyLeague schema:Organization)" 23 23 0 1 1 24 1 0.70630939053229 6 138
"SubClassOf(dbo:InlineHockeyLeague owl:Thing)" 23 23 0 1 1 24 1 0.70630939053229 6 138
"SubClassOf(dbo:InlineHockeyLeague skos:Concept)" 23 2 0 1 0.407862239984646 188 0.407862239984646 0.422215917988627 6 138
"SubClassOf(dbo:WaterwayTunnel dbo:ArchitecturalStructure)" 19 19 0 1 1 40 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel dbo:Infrastructure)" 19 19 0 1 1 32 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel dbo:Place)" 19 19 0 1 1 24 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel dbo:RouteOfTransportation)" 19 19 0 1 1 28 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel dbo:Tunnel)" 19 19 0 1 1 24 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel schema:Place)" 19 19 0 1 1 24 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel gml:_Feature)" 19 19 0 1 1 24 1 0.680385831111317 8 152
"SubClassOf(dbo:WaterwayTunnel owl:Thing)" 19 19 0 1 1 24 1 0.680385831111317 8 152
"SubClassOf(dbo:SnookerChamp dbo:Agent)" 23 23 0 1 1 36 1 0.70630939053229 7 161
"SubClassOf(dbo:SnookerChamp dbo:Athlete)" 23 23 0 1 1 20 1 0.70630939053229 7 161
"SubClassOf(dbo:SnookerChamp dbo:Person)" 23 23 0 1 1 20 1 0.70630939053229 7 161
"SubClassOf(dbo:SnookerChamp dbo:SnookerPlayer)" 23 23 0 1 1 24 1 0.70630939053229 7 161
"SubClassOf(dbo:SnookerChamp schema:Person)" 23 23 0 1 1 20 1 0.70630939053229 7 161
"SubClassOf(dbo:SnookerChamp owl:Thing)" 23 23 0 1 1 28 1 0.70630939053229 7 161
"SubClassOf(dbo:SnookerChamp foaf:Person)" 23 23 0 1 1 28 1 0.70630939053229 7 161
