"axiom" "refc" "conf" "expt" "poss" "nec" "time" "ari" "bls" "ncis" "tp"
"SubClassOf(dbo:ArchitecturalStructure dbo:Tunnel)" 134983 298 134624 3.53672683173212e-06 0 160736 -0.999996463273168 0.0472597189609557 60 8098980
"SubClassOf(dbo:ArchitecturalStructure dbo:Venue)" 134983 1623 92259 0.0514121383657311 0 869543 -0.948587861634269 0.112894279017035 60 8098980
"SubClassOf(dbo:ArchitecturalStructure dbo:WaterwayTunnel)" 134983 19 134865 3.82099042739448e-07 0 47899 -0.999999617900957 0.0123001704443829 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Airport)" 134983 12687 122232 0.00447169781640289 0 4947410 -0.995528302183597 0.332995207093057 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:EducationalOrganization)" 134983 708 93161 0.0492085536665134 0 13721178 -0.950791446333487 0.0735164784715026 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Hospital)" 134983 2328 91541 0.0532035894410513 0 1272287 -0.946796410558949 0.136267633689677 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Hotel)" 134983 1045 92881 0.0498870160462588 0 551586 -0.950112983953741 0.0898512574811528 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:LandmarksOrHistoricalBuildings)" 134983 5072 88797 0.0603588793069129 0 6343309 -0.939641120693087 0.205190007223789 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Library)" 134983 708 93174 0.0491771753194756 0 381121 -0.950822824680524 0.0735164784715026 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Museum)" 134983 3957 89912 0.0573919596188842 0 2271170 -0.942608040381116 0.180016178934598 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Organization)" 134983 708 93161 0.0492085536665134 0 17105409 -0.950791446333487 0.0735164784715026 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Park)" 134983 1756 133175 8.97073824173145e-05 0 1394997 -0.999910292617583 0.117619129141693 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Person)" 134983 1 130907 0.000456015113457942 0 30577303 -0.999543984886542 0.00463104759567206 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Place)" 134983 134981 0 1 0.999999999890233 59892 0.999999999890233 0.994650561608348 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:Restaurant)" 134983 623 93303 0.0488663901742507 0 356984 -0.951133609825749 0.0688442480905561 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:ShoppingCenter)" 134983 2244 91638 0.0529596254607101 0 1431518 -0.94704037453929 0.133674287146511 60 8098980
"SubClassOf(dbo:ArchitecturalStructure schema:TelevisionStation)" 134983 1 89912 0.0573919596188842 0 14961398 -0.942608040381116 0.00463104759567206 60 8098980
"SubClassOf(dbo:ArchitecturalStructure gml:_Feature)" 134983 96547 0 1 0.958602714442715 47535 0.958602714442715 0.5 60 8098980
"SubClassOf(dbo:ArchitecturalStructure owl:Thing)" 134983 134982 0 1 0.999999999972558 60250 0.999999999972558 0.995368952404328 60 8098980
"SubClassOf(dbo:ArchitecturalStructure skos:Concept)" 134983 471 33474 0.340851972436585 0 1652095 -0.659148027563415 0.0596613377578704 60 8098980
"SubClassOf(dbo:ArchitecturalStructure foaf:Person)" 134983 22 71880 0.116000846311544 0 5414920 -0.883999153688456 0.0131550315963847 60 8098980
"SubClassOf(schema:Museum dbo:ArchitecturalStructure)" 3966 3957 0 1 0.999997425160502 3830 0.999997425160502 0.947100682075178 14 55524
"SubClassOf(schema:Museum dbo:Broadcaster)" 3966 1 2 0.968245967742953 0 2711268 -0.0317540322570474 0.0273072721540815 14 55524
"SubClassOf(schema:Museum dbo:Building)" 3966 3957 2 0.968245967742953 0 6187 -0.0317540322570474 0.947100682075178 14 55524
